EUI_kWh_per_sqmt,SQMT,NFLOOR,FLCEILHT,YRCONC,MONUSE,OCCUPYP,WKHRS,NWKER,HEATP,COOLP,DAYLTP,HDD65,CDD65,PUBCLIM
249.8667862512696,10962.554,6,11,6,12,96.0,65,400,100.0,100.0,50.0,4834,960,2
448.6421807951266,7710.949,4,12,2,12,100.0,168,30,100.0,100.0,0.0,3726,2272,3
75.81999639615846,483.0956,1,10,7,12,100.0,45,50,65.0,100.0,5.0,1381,4158,5
270.69247457405953,6038.695,2,9,5,12,95.0,45,150,100.0,100.0,20.0,854,1053,4
191.5346189389548,22761.235,7,12,2,12,80.0,60,325,100.0,100.0,60.0,5645,1328,2
225.20414698206733,14864.48,3,12,4,12,70.0,168,308,100.0,100.0,0.0,6544,1055,3
132.24298084673097,24154.78,994,8,8,12,75.0,60,375,100.0,100.0,20.0,4729,1790,3
164.33020476044234,5945.792,1,10,8,12,100.0,50,115,100.0,100.0,25.0,1100,1360,4
202.9366552018308,4738.053,1,8,6,12,75.0,55,150,100.0,75.0,25.0,1191,3104,5
490.4642839974588,8175.464,4,10,2,12,100.0,168,75,100.0,80.0,5.0,5593,735,2
137.67590590943243,46451.5,995,16,6,12,80.0,55,200,90.0,90.0,0.0,1198,3527,5
117.47869333182337,8732.882,4,10,6,12,65.0,50,95,6.0,100.0,25.0,1264,3119,5
104.36420519087112,74322.4,7,12,4,12,100.0,168,1500,100.0,55.0,70.0,5173,1382,3
154.34469088188757,1114.836,1,10,8,12,100.0,40,23,100.0,100.0,10.0,3389,2307,4
363.62292957221155,9847.718,2,9,8,12,85.0,12,100,100.0,100.0,15.0,2076,2079,4
198.4990498938587,3855.4745,3,10,3,12,85.0,38,105,100.0,100.0,25.0,4728,2113,3
130.89484953493522,863.9979,1,12,8,12,100.0,60,14,100.0,50.0,0.0,6841,218,2
264.72686797970323,1138.06175,1,10,6,12,100.0,60,66,100.0,100.0,0.0,2223,736,4
216.95673153651816,65032.1,995,11,3,12,80.0,60,2500,100.0,88.0,0.0,5512,1410,3
235.31850355613503,38090.23,995,11,6,12,95.0,56,1400,100.0,100.0,0.0,3667,2164,4
273.8305164504914,929.03,2,8,5,12,40.0,50,10,55.0,50.0,20.0,5698,1222,2
261.19061533948235,10405.136,2,10,6,12,100.0,38,250,100.0,100.0,20.0,1861,286,4
243.68517142730713,501.6762,1,9,7,12,100.0,40,8,75.0,100.0,25.0,4799,1486,3
189.39008532593456,31587.02,994,12,8,12,100.0,65,1200,20.0,100.0,5.0,2281,94,3
238.86241701734244,1718.7055,1,15,2,12,90.0,168,50,100.0,100.0,0.0,6682,1551,3
135.2847883167522,10590.942,2,9,4,12,60.0,40,32,100.0,40.0,0.0,4400,1798,3
318.9045918377021,23690.265,994,8,5,12,98.0,11,975,98.0,98.0,10.0,3638,1878,4
157.4334813975733,74322.4,995,13,5,12,100.0,55,1450,90.0,90.0,50.0,4325,1643,3
147.03353110906,297.2896,1,9,8,12,100.0,68,3,100.0,100.0,0.0,1251,2044,5
328.0885107297831,28799.93,995,13,5,12,85.0,56,500,100.0,97.0,50.0,6271,811,2
269.18298490637284,343.7411,1,10,8,12,100.0,48,5,100.0,100.0,50.0,4822,1654,3
236.37040831790037,17651.57,995,8,7,12,100.0,40,450,98.0,98.0,90.0,5266,1594,3
269.7217288181529,10405.136,4,9,6,12,65.0,60,300,100.0,100.0,0.0,3263,2062,4
145.43496269736914,176.5157,1,10,8,12,100.0,45,4,100.0,90.0,20.0,3099,1659,4
407.490105604508,190.45115,2,8,6,12,100.0,55,4,50.0,50.0,80.0,6533,1408,2
