method,n,p,replication,MSE_signal,FPR,bulk_ESS,converged_alpha,rhat_max,converged_ok
AEH,100,200,25,2.9806584678855224,0.9789473684210527,22.10579038118608,0.7102095092422536,2.943822607629399,False
Horseshoe,100,200,25,0.035282232084279844,0.3526315789473684,64.88653359369508,,1.03968883442095,True
AEH,100,200,26,1.504664352574372,0.968421052631579,21.62203989157816,0.7339183722446545,2.8736080563808417,False
Horseshoe,100,200,26,0.05265081816669011,0.34210526315789475,65.5713203775698,,1.05662404794631,False
AEH,100,200,27,2.5810074922409707,0.9894736842105263,22.065996848787037,0.7193814913630966,2.744570048191099,False
Horseshoe,100,200,27,0.07127692806947164,0.3631578947368421,78.60946767584815,,1.039155634022564,True
AEH,100,200,28,2.4145193761312993,0.968421052631579,21.880266882390696,0.7180527793510886,3.106515260918699,False
Horseshoe,100,200,28,0.05018649367263609,0.2894736842105263,69.59197551571415,,1.0458276513223905,True
AEH,100,200,29,0.8853781791944794,0.9473684210526315,21.88471391815061,0.709127027549685,2.9479804212734266,False
Horseshoe,100,200,29,0.029308616868675984,0.32105263157894737,64.70861620606328,,1.053313064566446,False
AEH,100,200,30,1.2153041973799927,0.968421052631579,22.354043702949507,0.701205801152216,3.115298064551284,False
Horseshoe,100,200,30,0.042291781533135085,0.3473684210526316,68.8965347597352,,1.0486904982552134,True
AEH,100,200,31,0.8379180555121628,0.9631578947368421,22.183331223018467,0.7062970628356152,2.988302200351888,False
Horseshoe,100,200,31,0.051210792203316,0.32105263157894737,67.73459370810605,,1.0529494899013663,False
AEH,100,200,32,0.9224053170996532,0.9736842105263158,21.378043275600408,0.7180846148085425,2.5900367363224,False
Horseshoe,100,200,32,0.029037609348925592,0.35789473684210527,66.32570247330631,,1.0541341754436893,False
AEH,100,200,33,0.8783673806850629,0.9789473684210527,22.640287627232375,0.7146402845839567,3.04212625396287,False
Horseshoe,100,200,33,0.03006399665164235,0.3,68.5007385741429,,1.0570148590881072,False
AEH,100,200,34,1.0312342707845574,0.9631578947368421,21.970573125255534,0.6897828611174953,2.8680305249057167,False
Horseshoe,100,200,34,0.04404795314343056,0.38421052631578945,69.23587019733371,,1.0486059000322854,True
AEH,100,200,35,0.7398091054651618,0.9736842105263158,21.550808294653507,0.7125350640308792,2.729675246313385,False
Horseshoe,100,200,35,0.04025939199194551,0.3368421052631579,64.28237000904825,,1.0596540686585212,False
AEH,100,200,36,0.9003992224764797,0.9578947368421052,22.11786824568229,0.7250311517635801,2.9429553897590615,False
Horseshoe,100,200,36,0.07158052180632049,0.3368421052631579,73.85920070423758,,1.0340727297869319,True
AEH,100,200,37,10.086605539375892,0.9789473684210527,21.385517110166035,0.7228552030117671,2.6992066598375684,False
Horseshoe,100,200,37,0.04229579463100267,0.3368421052631579,68.60329543151856,,1.04465849717884,True
AEH,100,200,38,2.5304246877293086,0.968421052631579,21.595766545900506,0.7245619950362456,2.8235818587526658,False
Horseshoe,100,200,38,0.04885358118280007,0.4,55.36943771182641,,1.0955885822480074,False
AEH,100,200,39,0.8561399982177443,0.9736842105263158,22.3920929571541,0.6889941219860901,2.785914097766053,False
Horseshoe,100,200,39,0.04935664542010586,0.2894736842105263,67.69337256150294,,1.0592693670477311,False
