p,rho,replication,method,wall_clock_s
200,0.5,6,AEH,146.8935729000077
200,0.5,6,Horseshoe,89.38735760000418
200,0.5,6,Regularized Horseshoe,87.2777109000017
200,0.5,7,AEH,92.63442570000188
200,0.5,7,Horseshoe,91.11145970001235
200,0.5,7,Regularized Horseshoe,87.30560140000307
200,0.5,8,AEH,89.23830980001367
200,0.5,8,Horseshoe,117.78532269998686
200,0.5,8,Regularized Horseshoe,127.54246359999524
200,0.5,9,AEH,160.28469400000176
200,0.5,9,Horseshoe,136.20757310002227
200,0.5,9,Regularized Horseshoe,121.90543750001234
200,0.5,10,AEH,113.61419549997663
200,0.5,10,Horseshoe,121.91219020000426
200,0.5,10,Regularized Horseshoe,94.04564130000654
200,0.5,11,AEH,97.77051140001277
200,0.5,11,Horseshoe,88.53239189999294
200,0.5,11,Regularized Horseshoe,89.84439600000042
200,0.5,12,AEH,87.89756050001597
200,0.5,12,Horseshoe,121.87707269997918
200,0.5,12,Regularized Horseshoe,114.99786169998697
200,0.5,13,AEH,113.15981120002107
200,0.5,13,Horseshoe,111.80968000000576
200,0.5,13,Regularized Horseshoe,100.65268440000364
200,0.5,14,AEH,117.56657379999524
200,0.5,14,Horseshoe,144.79352350000408
200,0.5,14,Regularized Horseshoe,95.827676099987
200,0.5,15,AEH,132.80104680001386
200,0.5,15,Horseshoe,129.3624478999991
200,0.5,15,Regularized Horseshoe,107.67816109998967
200,0.5,16,AEH,110.08888999998453
200,0.5,16,Horseshoe,98.7360249000194
200,0.5,16,Regularized Horseshoe,97.79034800000954
200,0.5,17,AEH,95.7305794999993
200,0.5,17,Horseshoe,94.15319740000996
200,0.5,17,Regularized Horseshoe,94.4922082000121
200,0.5,18,AEH,98.52647330000764
200,0.5,18,Horseshoe,96.0559043000103
200,0.5,18,Regularized Horseshoe,94.26223659998504
200,0.5,19,AEH,121.10991989998729
200,0.5,19,Horseshoe,92.15565100000822
200,0.5,19,Regularized Horseshoe,205.1239213999943
200,0.5,20,AEH,187.03784679999808
200,0.5,20,Horseshoe,116.27216270001372
200,0.5,20,Regularized Horseshoe,92.38634040000034
200,0.5,21,AEH,184.4457742999948
200,0.5,21,Horseshoe,182.18699570000172
200,0.5,21,Regularized Horseshoe,141.86008449998917
200,0.5,22,AEH,115.8684104999993
200,0.5,22,Horseshoe,176.3053351000126
200,0.5,22,Regularized Horseshoe,184.19622310000705
200,0.5,23,AEH,156.46953199998825
200,0.5,23,Horseshoe,158.1347870999889
200,0.5,23,Regularized Horseshoe,142.48163879997446
200,0.5,24,AEH,125.8771014000231
200,0.5,24,Horseshoe,121.55648579998524
200,0.5,24,Regularized Horseshoe,110.6533330999955
200,0.5,25,AEH,118.4915970999864
200,0.5,25,Horseshoe,131.5866155999829
200,0.5,25,Regularized Horseshoe,109.07988249999471
200,0.5,26,AEH,201.61517030000687
200,0.5,26,Horseshoe,109.91434519999893
200,0.5,26,Regularized Horseshoe,84.94084649998695
200,0.5,27,AEH,89.10970790000283
200,0.5,27,Horseshoe,84.2666254999931
200,0.5,27,Regularized Horseshoe,85.65374690000317
200,0.5,28,AEH,90.6162020000047
200,0.5,28,Horseshoe,87.3507563000021
200,0.5,28,Regularized Horseshoe,85.41056699998444
200,0.5,29,AEH,85.45712859998457
200,0.5,29,Horseshoe,89.01620129999355
200,0.5,29,Regularized Horseshoe,84.43286910001189
200,0.7,0,AEH,89.2397878000047
200,0.7,0,Horseshoe,101.63683159998618
200,0.7,0,Regularized Horseshoe,86.05000100002508
200,0.7,1,AEH,86.81838540002354
200,0.7,1,Horseshoe,102.0877891999844
200,0.7,1,Regularized Horseshoe,87.11309970001457
200,0.7,2,AEH,91.36694399997941
200,0.7,2,Horseshoe,90.56478529999731
200,0.7,2,Regularized Horseshoe,87.17717719997745
200,0.7,3,AEH,92.5131137999997
200,0.7,3,Horseshoe,90.36837669997476
200,0.7,3,Regularized Horseshoe,90.74678600000334
200,0.7,4,AEH,86.6823916999856
200,0.7,4,Horseshoe,93.98438569999416
200,0.7,4,Regularized Horseshoe,87.13291930002742
200,0.7,5,AEH,88.23253990002559
200,0.7,5,Horseshoe,95.98409029998584
200,0.7,5,Regularized Horseshoe,113.9800954000093
200,0.7,6,AEH,103.76917909999611
200,0.7,6,Horseshoe,100.76807030002237
200,0.7,6,Regularized Horseshoe,102.7072182999982
200,0.7,7,AEH,121.1575765000016
200,0.7,7,Horseshoe,181.22534070000984
200,0.7,7,Regularized Horseshoe,175.31138300002203
200,0.7,8,AEH,173.02826199997799
200,0.7,8,Horseshoe,172.38518509999267
200,0.7,8,Regularized Horseshoe,185.5195589000068
200,0.7,9,AEH,184.62560339999618
200,0.7,9,Horseshoe,153.34462560000247
200,0.7,9,Regularized Horseshoe,111.24318920000223
200,0.7,10,AEH,193.41566599998623
200,0.7,10,Horseshoe,144.6180954000156
200,0.7,10,Regularized Horseshoe,176.3560451999947
200,0.7,11,AEH,107.95874849997927
200,0.7,11,Horseshoe,101.63730490001035
200,0.7,11,Regularized Horseshoe,108.47746370002278
200,0.7,12,AEH,214.37067879998358
200,0.7,12,Horseshoe,119.99885480001103
200,0.7,12,Regularized Horseshoe,140.90619999999763
200,0.7,13,AEH,195.4046559999988
200,0.7,13,Horseshoe,168.446720500011
200,0.7,13,Regularized Horseshoe,180.97726859999239
200,0.7,14,AEH,208.91559279998182
200,0.7,14,Horseshoe,235.81983449999825
200,0.7,14,Regularized Horseshoe,194.52442910001264
200,0.7,15,AEH,179.58112420001999
200,0.7,15,Horseshoe,152.38842239999212
200,0.7,15,Regularized Horseshoe,106.20522770000389
200,0.7,16,AEH,108.26463289998355
200,0.7,16,Horseshoe,151.38115669999388
200,0.7,16,Regularized Horseshoe,182.88778920000186
200,0.7,17,AEH,188.81010660002357
200,0.7,17,Horseshoe,145.5249274999951
200,0.7,17,Regularized Horseshoe,117.69324250001227
200,0.7,18,AEH,137.47353830002248
200,0.7,18,Horseshoe,132.7853481999773
200,0.7,18,Regularized Horseshoe,143.0809303999995
200,0.7,19,AEH,148.49734269999317
200,0.7,19,Horseshoe,182.65915919997497
200,0.7,19,Regularized Horseshoe,205.3917057000217
200,0.7,20,AEH,180.9737720999983
200,0.7,20,Horseshoe,185.04480289999628
200,0.7,20,Regularized Horseshoe,204.32307939999737
