condition,replication,wall_clock_s,MSE_signal,FPR,bulk_ESS,converged_alpha,PICP_90,rhat_max,converged_ok
Partial swap,24,1.506603499990888,,,,,,1.1162396005944253,False
Partial swap,25,1.5141531999688596,,,,,,1.0763302835871515,False
Partial swap,26,1.5490905999904498,,,,,,1.1618343786735714,False
Partial swap,27,1.5393648000317626,,,,,,1.1038497399845097,False
Partial swap,28,1.4288037999649532,,,,,,1.9223031445717549,False
Partial swap,29,1.4853806999744847,,,,,,3.937274039647055,False
Partial swap,30,1.684375100012403,0.017538201697155472,0.06666666666666667,154.4840964023352,0.2997302807503489,0.9666666666666667,1.0436021767974615,True
Partial swap,31,1.6305957000004128,,,,,,1.1628244806195545,False
Partial swap,32,1.5879969999659806,,,,,,1.091524237943075,False
Partial swap,33,1.6183199000079185,,,,,,5.154421761749924,False
Partial swap,34,1.593576600018423,,,,,,1.1007608896268744,False
Partial swap,35,1.4348795000114478,0.005458198019635052,0.0,164.0780359677736,0.2981248402346702,0.9366666666666666,1.0454515328905354,True
Partial swap,36,1.5810855000163428,,,,,,1.0821903395316055,False
Partial swap,37,1.637564399978146,,,,,,1.0872030396743502,False
Partial swap,38,1.4493647000053898,,,,,,8.865503863298215,False
Partial swap,39,1.6372426000307314,,,,,,1.1095528714956608,False
Partial swap,40,1.5240400000475347,,,,,,1.1130923605792218,False
Partial swap,41,1.702117599954363,0.021024766198925463,0.0,131.87269364753215,0.2873829009595621,0.9566666666666667,1.0439731374072445,True
Partial swap,42,1.5274987999582663,,,,,,1.1154257078308218,False
Partial swap,43,1.5309796999790706,,,,,,1.1787202978099556,False
Partial swap,44,1.8324341000407003,0.017675526582658578,0.0,172.06160121303975,0.30761221866730887,0.93,1.0335955446544574,True
Partial swap,45,1.6584146000095643,,,,,,1.1876890366752881,False
Partial swap,46,1.9744105000281706,,,,,,34.42134960390072,False
Partial swap,47,1.550896600005217,,,,,,1.1774740006687754,False
Partial swap,48,1.6646694000228308,,,,,,1.0919937891472848,False
Partial swap,49,2.239166999992449,,,,,,1.0737563694203534,False
All AEH,0,2.3438203999539837,0.0007227849667103354,0.2,314.9894142974922,0.32979402752958664,0.9633333333333334,1.0020431694575995,True
All AEH,1,1.790976700023748,0.005778395233471518,0.06666666666666667,304.3240006417358,0.33810042717632915,0.9566666666666667,1.0009412691330049,True
All AEH,2,1.5932432999834418,0.0027825176119512206,0.06666666666666667,309.74024138257084,0.33799002381756404,0.94,1.024404546143643,True
All AEH,3,1.5241837000357918,0.004050795543375262,0.06666666666666667,289.73945825051356,0.3312278787785059,0.95,1.0017898973485473,True
All AEH,4,1.568122000026051,0.008064407150706464,0.0,289.9223158983174,0.34019345344023877,0.95,1.0005949587294594,True
All AEH,5,1.5320041000377387,0.0051086241205164475,0.06666666666666667,264.51029137812367,0.35383124241490516,0.96,1.0041066415671842,True
All AEH,6,1.6452099000453018,0.028156150887855835,0.2,283.4103082275887,0.3382364821740228,0.97,1.0253177254146466,True
All AEH,7,2.1611436000093818,0.010575920078807548,0.13333333333333333,283.23040380660666,0.35812401072348654,0.9666666666666667,1.0077923344462463,True
All AEH,8,1.6421436000382528,0.018638792421477306,0.06666666666666667,282.01224157298583,0.32248530538338294,0.9533333333333334,1.0035575474163005,True
All AEH,9,1.5160389000084251,0.04033356777835023,0.06666666666666667,293.321086299235,0.3420002148493543,0.9633333333333334,1.00209914511553,True
All AEH,10,1.6674697000416927,0.004995373815984904,0.06666666666666667,282.843430439623,0.34845891680765106,0.9666666666666667,1.0049829561238541,True
All AEH,11,1.6779169999645092,0.0032800681053166392,0.06666666666666667,204.3473433741013,0.3382810165335912,0.9666666666666667,1.015698164512036,True
All AEH,12,1.601088700001128,0.017944882118784717,0.26666666666666666,305.52725505282285,0.33637046391964665,0.9466666666666667,1.0016401697892048,True
