rho,group_size,replication,AEH_MSE,HS_MSE,MSE_ratio,AEH_alpha_star
0.5,3,23,0.004300587875879468,0.004920324560060918,0.8740455682106919,0.5108394530837779
0.5,3,24,0.002725135682777967,0.00229168136034053,1.1891424915953537,0.5157608863865526
0.5,3,25,0.0038737944098217103,0.0040370752227369446,0.9595546766144878,0.5026479017752593
0.5,3,26,0.004170745448436744,0.004145833309814105,1.006008958093821,0.49862710560659196
0.5,3,27,0.0032040265106445948,0.002960853328792607,1.0821294251516167,0.5137385013849465
0.5,3,28,0.007762999073520372,0.007681439831584686,1.010617702374017,0.5073588170045267
0.5,3,29,0.005671581913410104,0.00502712005531067,1.128197029513672,0.5178292990659832
0.5,5,0,0.0016410095613528012,0.002455528325999454,0.6682918474112386,0.4633189165398275
0.5,5,1,0.00033440837192851046,0.00023302253508264323,1.4350902663122689,0.4641587259763428
0.5,5,2,0.00872471267941271,0.007043679218283731,1.2386584353196284,0.4600806487561857
0.5,5,3,0.005016531126870399,0.005270446722096962,0.9518227564729964,0.4469573085466608
0.5,5,4,0.00305288684717108,0.003408145695667876,0.8957618364295961,0.4419740277805104
0.5,5,5,0.0027701012925785726,0.002739826095970901,1.011050043158649,0.4504284203623852
0.5,5,6,0.00524750433441701,0.00521595270428256,1.0060490636942594,0.46151687982487566
0.5,5,7,0.006077779316202995,0.0060079945045549985,1.0116153254792575,0.4375356353263469
0.5,5,8,0.008559763061755038,0.00912177183306448,0.9383882011527324,0.47490642743689004
0.5,5,9,0.006411866786414677,0.0069435301435410105,0.9234303954709701,0.4753024537931647
0.5,5,10,0.004773811313167335,0.0044583815604626025,1.0707498334153356,0.453047852858102
0.5,5,11,0.00326577500479407,0.003665511887628238,0.8909465048569746,0.45722442727105717
0.5,5,12,0.006952278289182096,0.007386245911817474,0.9412465239018024,0.43900306342822026
0.5,5,13,0.003837090791424521,0.003651070410894311,1.0509495461865512,0.463729274276247
0.5,5,14,0.005807119185798255,0.005911967603494843,0.9822650554386313,0.4561945226566231
0.5,5,15,0.007107351387814651,0.005238254079168711,1.3568168478270068,0.46498467517716946
0.5,5,16,0.005358876837051777,0.006028345716941101,0.8889465018557321,0.4511202677524987
0.5,5,17,0.0033006639568092465,0.003375071457595709,0.9779537998761461,0.4596058039012344
0.5,5,18,0.006278927754613797,0.00734083617655947,0.8553423075512124,0.46179361845921396
0.5,5,19,0.015270217109887902,0.016028931361040277,0.952665949210033,0.4588584716110681
0.5,5,20,0.0006071954024300513,0.0005764884884867875,1.0532654416463125,0.43637215260016216
0.5,5,21,0.010749755699168181,0.011357644593313825,0.9464775562264465,0.45435485748455606
0.5,5,22,0.007723920912898764,0.007479660239930322,1.0326566535287862,0.456336077515778
