replication,method,wall_clock_s,MSE_signal,FPR,bulk_ESS,converged_alpha,rhat_max,converged_ok,PICP_90
13,AEH,260.05686770001194,0.01524155123284766,0.17083333333333334,257.75303147286076,0.6040125708015373,1.0072895994893587,True,1.0
13,Horseshoe,252.28634270001203,0.01545148185392935,0.1625,244.97994428406102,,1.009487300353522,True,1.0
13,Regularized Horseshoe,259.9976238999516,,,,,15.93086370559495,False,
13,Bayesian Elastic Net,262.4137218000251,0.01530364128116685,0.17083333333333334,242.27654599050948,,1.009417152566076,True,1.0
14,AEH,253.74202329997206,0.0099936220521095,0.13333333333333333,258.75308904809447,0.6064897966017755,1.0074548654749031,True,1.0
14,Horseshoe,287.2197953000432,0.010095705553772805,0.12916666666666668,246.40694386081097,,1.0127740102318137,True,1.0
14,Regularized Horseshoe,259.65549979999196,,,,,1.1106793896164975,False,
14,Bayesian Elastic Net,263.01741139998194,0.01008256264018988,0.13333333333333333,243.62052156359985,,1.013418370464507,True,1.0
15,AEH,260.8276729999925,0.022165287674316757,0.18333333333333332,246.8144063796855,0.6062437170859085,1.0055301969999881,True,1.0
15,Horseshoe,259.8288659999962,0.022372515024702604,0.18333333333333332,233.47057951685318,,1.006911306550197,True,1.0
15,Regularized Horseshoe,259.36610510002356,,,,,2.680045903127968,False,
15,Bayesian Elastic Net,259.0272577999858,0.02236759949848634,0.1875,230.3861677953723,,1.0069810382974407,True,1.0
16,AEH,267.52017510001315,0.01657992962401407,0.1625,265.9436134851229,0.6053008556682845,1.0058069239528578,True,1.0
16,Horseshoe,269.6115082000033,0.016738989661157253,0.15416666666666667,254.1901403356292,,1.0080176851325637,True,1.0
16,Regularized Horseshoe,268.88572310004383,,,,,1.0818807069819432,False,
16,Bayesian Elastic Net,260.49293589999434,0.016694361508843344,0.1625,251.76758453982907,,1.0081741070408081,True,1.0
17,AEH,269.61805670004105,0.020387222834404008,0.15833333333333333,255.64107961040014,0.6049968593852801,1.0065519913366645,True,1.0
17,Horseshoe,278.21202219999395,0.020122937858418545,0.15833333333333333,243.63974431682698,,1.0069022775058192,True,1.0
17,Regularized Horseshoe,258.7485161999939,,,,,1.0865103174164348,False,
17,Bayesian Elastic Net,264.23502640001243,0.020160219830040373,0.15833333333333333,241.0612013040354,,1.0072741140918775,True,1.0
18,AEH,255.4758887999924,0.01446058431316707,0.19583333333333333,246.30206576224586,0.6050066106475755,1.010991218378957,True,1.0
18,Horseshoe,262.675719699997,0.014812386285175668,0.1875,233.90702731673335,,1.0099232694577451,True,1.0
18,Regularized Horseshoe,275.4766182999592,,,,,14.264816387639463,False,
18,Bayesian Elastic Net,268.2854599999846,0.014630694387603485,0.19583333333333333,231.2823583749153,,1.0103001497299395,True,1.0
19,AEH,261.2594253999996,0.01643978461300218,0.14166666666666666,259.0123822095989,0.6043790572288572,1.0062443912258194,True,1.0
19,Horseshoe,262.63720350002404,0.01668243454734452,0.12916666666666668,245.96304824811983,,1.0092209310810327,True,1.0
19,Regularized Horseshoe,271.79439389996696,,,,,14.95313359702758,False,
19,Bayesian Elastic Net,259.21112909994554,0.0164243699822933,0.14166666666666666,243.26531184697944,,1.009565336036415,True,1.0
20,AEH,260.51997069997014,0.01633623682420622,0.1625,268.32421365078056,0.6061994838458524,1.0065709457638068,True,1.0
20,Horseshoe,251.68209759995807,0.016519955519077107,0.1625,259.5796950734226,,1.0086215350199568,True,1.0
20,Regularized Horseshoe,262.961306000012,,,,,6.39483365136635,False,
20,Bayesian Elastic Net,259.59664940001676,0.01633368358548267,0.1625,257.318040201061,,1.0086186763142426,True,1.0
21,AEH,275.31213640002534,0.018452800623832383,0.125,258.47081192818416,0.608756876779813,1.0063185331490005,True,1.0
21,Horseshoe,271.5146732000285,0.018591751296448224,0.12916666666666668,245.29187903099324,,1.0257182322378906,True,1.0
21,Regularized Horseshoe,258.15115089999745,,,,,9.034410031493767,False,
21,Bayesian Elastic Net,261.5951942000538,0.01850417122308191,0.13333333333333333,242.55983328763998,,1.025621976317191,True,1.0
22,AEH,264.47779989999253,0.019510977638374005,0.11666666666666667,247.18808324643066,0.6059510375200712,1.0106420833348204,True,1.0
22,Horseshoe,280.6731276999926,0.01954808925623294,0.11666666666666667,235.61503673178206,,1.009110398997536,True,1.0
22,Regularized Horseshoe,251.0061527999933,,,,,1.1054608965772041,False,
22,Bayesian Elastic Net,262.1946762999869,0.019552819866804502,0.12083333333333333,232.96225247596,,1.0095542351460411,True,1.0
23,AEH,266.8635187000036,0.008609772461667529,0.1,264.75058790575105,0.6100378683622506,1.0256087027679883,True,1.0
