condition,replication,warmup_used,wall_clock_s,MSE_signal,FPR,bulk_ESS,converged_alpha,PICP_90,rhat_max,converged_ok
All AEH,24,4000,3.1664477000012994,0.014157559371396766,0.13333333333333333,306.11250077100294,0.3250429131560476,0.9766666666666667,1.000303004804835,True
All AEH,25,4000,3.025585499999579,0.03926274429767802,0.06666666666666667,308.80556112821955,0.32507325642479745,0.9466666666666667,1.0010732691588402,True
All AEH,26,4000,3.1428913000272587,0.008227136666581699,0.06666666666666667,308.4528559643236,0.33836304773867154,0.95,1.0018875559237008,True
All AEH,27,4000,3.2153797000064515,0.004239488059665247,0.13333333333333333,303.1030815817914,0.3371363721595475,0.9633333333333334,1.001411221161092,True
All AEH,28,8000,7.591957700031344,,,,,,6266280112661425.0,False
All AEH,29,8000,7.895276100025512,0.004803858299759113,0.06666666666666667,267.2959223706139,0.3341403140903879,0.9566666666666667,1.001557291510501,True
All AEH,30,8000,8.692988099996,0.02258478866800914,0.06666666666666667,283.52915107233036,0.34151458639866994,0.9766666666666667,1.0027382921314978,True
All AEH,31,4000,3.195830599986948,0.009214762265397972,0.13333333333333333,295.29839036871505,0.3313206447151782,0.9733333333333334,1.001159485103257,True
All AEH,32,4000,3.3447444000048563,0.012406046138896662,0.06666666666666667,273.81890174452826,0.3343664301364738,0.95,1.0038954199846797,True
All AEH,33,4000,2.6014371000346728,0.0008714395225354155,0.0,308.7717026513956,0.3506201743467927,0.97,1.0015860137717265,True
All AEH,34,4000,2.988668799982406,0.012033718711399733,0.06666666666666667,305.00776729115285,0.3380484214533922,0.9733333333333334,1.0011732080990359,True
All AEH,35,4000,3.3299898999975994,0.005034976948699145,0.2,294.546083157497,0.33866933414573397,0.96,1.0017487773211664,True
All AEH,36,8000,7.57607970002573,0.01430007103165155,0.13333333333333333,322.43775436149,0.3352428786878512,0.9666666666666667,1.0009159735264817,True
All AEH,37,8000,8.445660000026692,0.007951602096968125,0.0,243.97751335943684,0.3400044959257801,0.9766666666666667,1.02245249542908,True
All AEH,38,8000,7.900473399960902,0.008611526494619298,0.06666666666666667,309.8626938338377,0.3346182694014119,0.9533333333333334,1.001168697686867,True
All AEH,39,4000,3.169059500040021,0.009144178657767317,0.0,216.77759469218344,0.3437568894495344,0.9666666666666667,1.003086789932789,True
All AEH,40,8000,7.856242600013502,0.009721059598578016,0.0,260.19845799092974,0.3433474942235374,0.9533333333333334,1.0084650236427333,True
