method,s_0,replication,MSE_signal,FPR,bulk_ESS,converged_alpha
Regularized Horseshoe,5,4,0.0036349549983458324,0.0,5785.9764314458835,
Bayesian Elastic Net,5,4,0.00946016760783576,0.0,5586.75478397383,
ARD,5,4,0.00470878559236876,0.0,266.74683211654053,
AEH,5,5,0.012268896851198018,0.06666666666666667,1884.4238494272354,0.15862840932224748
Horseshoe,5,5,0.001297387325356464,0.06666666666666667,4804.988738174391,
Regularized Horseshoe,5,5,0.001359332290843546,0.06666666666666667,7287.019946112669,
Bayesian Elastic Net,5,5,0.007235249308914463,0.06666666666666667,4952.497245642853,
ARD,5,5,0.0018483348159119175,0.06666666666666667,386.5999672606153,
AEH,5,6,0.012029905905073782,0.2,5225.829124721984,0.15724605203592357
Horseshoe,5,6,0.003755833236644481,0.2,2069.857297623315,
Regularized Horseshoe,5,6,0.003833119868783718,0.2,8000.0,
Bayesian Elastic Net,5,6,0.00798536118320357,0.2,2460.040425200334,
ARD,5,6,0.004090291791978575,0.2,380.31991049907293,
AEH,5,7,0.015182751164395108,0.2,1595.372069790592,0.15782912408258842
Horseshoe,5,7,0.003697200322136571,0.13333333333333333,4147.356355008616,
Regularized Horseshoe,5,7,0.003619998856514768,0.13333333333333333,7697.333826191493,
Bayesian Elastic Net,5,7,0.008685443461660548,0.13333333333333333,4068.5305257794084,
ARD,5,7,0.003776514236123975,0.13333333333333333,339.21823885758556,
AEH,5,8,0.0058703803729319975,0.2,5513.990507448588,0.1567309849082592
Horseshoe,5,8,0.0045213573859868,0.2,5593.655240752321,
Regularized Horseshoe,5,8,0.004507013180161048,0.2,7775.748918116046,
Bayesian Elastic Net,5,8,0.004101844112168771,0.2,5489.542168148424,
ARD,5,8,0.004086074553146626,0.2,329.39532009435396,
AEH,5,9,0.010494687155598554,0.2,4502.195328432984,0.15625021781629989
Horseshoe,5,9,0.003969704622579692,0.26666666666666666,3324.0932451756735,
Regularized Horseshoe,5,9,0.0038483381614475556,0.2,7074.4486162601415,
Bayesian Elastic Net,5,9,0.007162738713843396,0.2,3601.340314539437,
ARD,5,9,0.004201649215982502,0.26666666666666666,324.8702593820282,
AEH,5,10,0.013872290828373707,0.0,1781.7242172406964,0.15979753129800423
Horseshoe,5,10,0.005659974725725421,0.0,5919.459340420534,
Regularized Horseshoe,5,10,0.005663296896103407,0.0,8000.0,
Bayesian Elastic Net,5,10,0.009285996209037015,0.0,5958.310529299329,
ARD,5,10,0.005597247070397625,0.0,319.21359096054056,
AEH,5,11,0.0066928384334019025,0.0,3981.3704261331673,0.15728751156949927
Horseshoe,5,11,0.004264641050536752,0.06666666666666667,372.8123200098629,
Regularized Horseshoe,5,11,0.003905564271747871,0.06666666666666667,7957.979376720968,
Bayesian Elastic Net,5,11,0.004525692498022455,0.0,354.5174896007545,
ARD,5,11,0.0035431116360224698,0.06666666666666667,272.97407508929695,
AEH,5,12,0.010421737591490962,0.2,4620.746609978095,0.15733949166873168
Horseshoe,5,12,0.007259787595084287,0.06666666666666667,523.74063101844,
Regularized Horseshoe,5,12,0.007308641822192064,0.2,7286.136756486538,
Bayesian Elastic Net,5,12,0.00817291338502112,0.2,6212.829813532289,
ARD,5,12,0.00739421308472365,0.2,324.6332522658452,
AEH,5,13,0.013963232852593151,0.13333333333333333,3679.059112488326,0.15854644931517325
Horseshoe,5,13,0.0033668814338334426,0.06666666666666667,423.2225747396882,
Regularized Horseshoe,5,13,0.003234583212206622,0.06666666666666667,7382.580302012783,
Bayesian Elastic Net,5,13,0.008640729019251222,0.13333333333333333,592.1026908746833,
ARD,5,13,0.0037510690945358667,0.13333333333333333,339.4781420603544,
AEH,5,14,0.002628128821669543,0.06666666666666667,4688.424772275316,0.156876777909908
Horseshoe,5,14,0.005958529677623331,0.06666666666666667,625.8065276006317,
Regularized Horseshoe,5,14,0.005281121685096152,0.06666666666666667,6554.822833651861,
Bayesian Elastic Net,5,14,0.0023385242781524714,0.06666666666666667,856.7552515537085,
ARD,5,14,0.0042261730405404605,0.06666666666666667,340.82814322910934,
AEH,5,15,0.008317091163707224,0.06666666666666667,1673.1846008863577,0.15726988137739528
Horseshoe,5,15,0.004725073701955888,0.06666666666666667,2996.252637355826,
Regularized Horseshoe,5,15,0.004636912176920002,0.06666666666666667,7602.445931075221,
Bayesian Elastic Net,5,15,0.005748289843993396,0.06666666666666667,4545.582005190216,
ARD,5,15,0.004538004803989878,0.06666666666666667,321.5245202730813,
AEH,5,16,0.01827538235137434,0.2,1114.642334354974,0.15775399425251652
Horseshoe,5,16,0.005952198060320607,0.2,4769.267052690524,
Regularized Horseshoe,5,16,0.0058422908875719205,0.2,7118.241452374197,
Bayesian Elastic Net,5,16,0.012907883226497757,0.2,5027.592839434019,
ARD,5,16,0.006923229684884386,0.2,262.2824041449299,
AEH,5,17,0.015943083721608166,0.26666666666666666,2534.6237676316296,0.15690715518441273
Horseshoe,5,17,0.007873177916484096,0.26666666666666666,6148.703248276958,
Regularized Horseshoe,5,17,0.007760980296814909,0.26666666666666666,4004.9072874288054,
Bayesian Elastic Net,5,17,0.012096804788793167,0.26666666666666666,5957.635447044259,
ARD,5,17,0.008119570170420311,0.26666666666666666,401.7798546697791,
AEH,5,18,0.012943613063595922,0.13333333333333333,4562.653124257345,0.15778873917585634
Horseshoe,5,18,0.001144431888173559,0.13333333333333333,1860.9119095735216,
Regularized Horseshoe,5,18,0.0010768939406151856,0.06666666666666667,6339.28124289433,
Bayesian Elastic Net,5,18,0.0076110506404498636,0.13333333333333333,2596.6559755138123,
ARD,5,18,0.0017467427689935471,0.13333333333333333,260.72407007279253,
AEH,5,19,0.01316489374323481,0.06666666666666667,3953.4619597331066,0.1588894137755516
Horseshoe,5,19,0.002606411399139426,0.06666666666666667,2505.1664979885813,
