method,n,replication,bulk_ESS_signal,bulk_ESS_null,bulk_ESS_all
Horseshoe,1000,3,8000.0,4085.0113752928128,5063.75853146961
AEH,1000,4,115.7559784186179,108.45020809871374,110.27665067868978
Horseshoe,1000,4,5736.8535567010085,7984.778279377115,7422.797098708089
AEH,1000,5,5141.72214927393,7540.708920566887,6940.962227743648
Horseshoe,1000,5,7426.815339535067,7616.860367464989,7569.349110482508
AEH,1000,6,3992.6835283570545,5002.807607866746,4750.276587989322
Horseshoe,1000,6,8000.0,7941.187788579974,7955.890841434981
AEH,1000,7,7828.247622266684,8000.0,7957.06190556667
Horseshoe,1000,7,8000.0,2286.1102714099907,3714.5827035574926
AEH,1000,8,6387.556302161973,3973.3826435210744,4576.926058181299
Horseshoe,1000,8,8000.0,443.34174571773235,2332.5063092882992
AEH,1000,9,4488.636465876782,5509.007525709516,5253.914760751332
Horseshoe,1000,9,7242.524452522237,7736.452459621507,7612.97045784669
AEH,1000,10,4996.1627353792,6217.057230636886,5911.833606822465
Horseshoe,1000,10,6384.089022400844,7188.113308268138,6987.107236801315
AEH,1000,11,7506.098752597619,4004.3929610684345,4879.819408950729
Horseshoe,1000,11,8000.0,321.36807674706984,2241.026057560303
AEH,1000,12,5438.437011905724,7901.152495241515,7285.473624407567
Horseshoe,1000,12,6342.035852959627,5625.467749059726,5804.609775034702
AEH,1000,13,8000.0,8000.0,8000.0
Horseshoe,1000,13,8000.0,1600.0880292413465,3200.0660219310103
AEH,1000,14,74.69099380766731,67.56792611841031,69.34869304072456
Horseshoe,1000,14,6385.848960951274,8000.0,7596.462240237818
AEH,1000,15,6919.903344641697,7521.118672814941,7370.814840771631
Horseshoe,1000,15,8000.0,1215.2993859365774,2911.4745394524334
AEH,1000,16,7785.651598380105,8000.0,7946.412899595026
Horseshoe,1000,16,8000.0,1965.0725710059853,3473.8044282544884
AEH,1000,17,8000.0,8000.0,8000.0
Horseshoe,1000,17,41.56788675885625,33.40350956351194,35.44460386234802
AEH,1000,18,3233.081657843787,2426.0451739772193,2627.804294943861
Horseshoe,1000,18,6376.278476167263,8000.0,7594.069619041815
AEH,1000,19,5297.4781963318,7591.8837714713,7018.282377686424
Horseshoe,1000,19,7726.285442387694,6893.27386359354,7101.526758292079
AEH,2000,0,7688.108857640707,6377.434614217299,6705.103175073152
Horseshoe,2000,0,8000.0,984.0217950216397,2738.01634626623
AEH,2000,1,2237.9581881787894,2632.8839308131546,2534.1524951545634
Horseshoe,2000,1,8000.0,8000.0,8000.0
AEH,2000,2,5419.210182785434,7962.095526701423,7326.374190722427
Horseshoe,2000,2,6663.431937039773,3729.0820241545457,4462.669502375851
AEH,2000,3,8000.0,3219.8588007174053,4414.894100538054
Horseshoe,2000,3,8000.0,171.6286207989889,2128.721465599242
AEH,2000,4,7903.659448216172,7968.255450645114,7952.10645003788
Horseshoe,2000,4,8000.0,1783.7963503582168,3337.847262768662
AEH,2000,5,7309.549279223138,7607.128446185797,7532.733654445132
