method,rho,replication,MSE_signal,FPR,converged_alpha,bulk_ESS
AEH,0.5,39,0.004672569640286482,0.0,0.47761087929519475,453.2365819651571
Horseshoe,0.5,39,0.00593595016218605,0.06666666666666667,,1105.1412193693636
Bayesian Elastic Net,0.5,39,0.005692683414076374,0.06666666666666667,,1182.5254115281346
Bayesian Elastic Net (alpha=0.1),0.5,39,0.005667107727682761,0.06666666666666667,,1172.8144739638483
Bayesian Elastic Net (alpha=0.9),0.5,39,0.005720551398342976,0.06666666666666667,,1182.224464496579
AEH,0.5,40,0.0024494223007366133,0.06666666666666667,0.47493206083477824,1140.888259490478
Horseshoe,0.5,40,0.002537988183429771,0.06666666666666667,,927.5019588172696
Bayesian Elastic Net,0.5,40,0.0026533040864768734,0.06666666666666667,,2631.1341137211857
Bayesian Elastic Net (alpha=0.1),0.5,40,0.0026361793413440414,0.06666666666666667,,2631.489550528317
Bayesian Elastic Net (alpha=0.9),0.5,40,0.0026740724222791825,0.06666666666666667,,2631.7276690839767
AEH,0.5,41,0.0014697028200775168,0.4,0.4547828550535957,333.93888454309473
Horseshoe,0.5,41,0.001428326999411827,0.4,,505.75053578341686
Bayesian Elastic Net,0.5,41,0.0014183061464029434,0.4,,491.14149271426095
Bayesian Elastic Net (alpha=0.1),0.5,41,0.0014115733615409323,0.4,,491.06280133547915
Bayesian Elastic Net (alpha=0.9),0.5,41,0.0014251069874818762,0.4,,491.21984789960914
AEH,0.5,42,0.006298315926653804,0.2,0.45641069426451164,1188.879433498649
Horseshoe,0.5,42,0.006397515711967586,0.13333333333333333,,1646.511020907817
Bayesian Elastic Net,0.5,42,0.0061268212458977876,0.2,,1719.6022046194162
Bayesian Elastic Net (alpha=0.1),0.5,42,0.006092692355053181,0.2,,1719.9412382666483
Bayesian Elastic Net (alpha=0.9),0.5,42,0.0061629360729836494,0.2,,1721.96907706478
AEH,0.5,43,0.002503986091097017,0.2,0.4564432968217472,606.6218791442609
Horseshoe,0.5,43,0.0028248086913409244,0.2,,1072.626870012375
Bayesian Elastic Net,0.5,43,0.0027017123470801335,0.26666666666666666,,1120.4994398653614
Bayesian Elastic Net (alpha=0.1),0.5,43,0.0026864590843722748,0.26666666666666666,,1120.971585438339
Bayesian Elastic Net (alpha=0.9),0.5,43,0.0027171130969768434,0.26666666666666666,,1119.9790201438868
AEH,0.5,44,0.003936438998472165,0.26666666666666666,0.4859555655053719,390.80421677228685
Horseshoe,0.5,44,0.003757791767835817,0.26666666666666666,,1405.4799258505468
Bayesian Elastic Net,0.5,44,0.0035005905453322815,0.26666666666666666,,409.63269609615054
Bayesian Elastic Net (alpha=0.1),0.5,44,0.0034838495025213516,0.26666666666666666,,409.83868810393443
Bayesian Elastic Net (alpha=0.9),0.5,44,0.0035174698569183952,0.26666666666666666,,409.17986559959036
AEH,0.5,45,0.010427242046614837,0.26666666666666666,0.46106411362750155,388.8075171927218
Horseshoe,0.5,45,0.009308280023198296,0.26666666666666666,,1033.3037169271088
Bayesian Elastic Net,0.5,45,0.009097050236397269,0.26666666666666666,,659.1898849201267
Bayesian Elastic Net (alpha=0.1),0.5,45,0.00912286980998558,0.26666666666666666,,660.2359577174739
Bayesian Elastic Net (alpha=0.9),0.5,45,0.009081564069401962,0.26666666666666666,,666.9048972152796
AEH,0.5,46,0.0033388045642099157,0.2,0.4470723693613863,305.5582047430714
Horseshoe,0.5,46,0.00398330963048466,0.2,,594.5615556625619
Bayesian Elastic Net,0.5,46,0.003822615294736622,0.2,,574.8701006862616
