YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,ENERGYSTARScore,Electricity(kWh),NaturalGas(kBtu),GHGEmissionsIntensity
1987.0,4.0,1.0,30060.0,89.0,204929.0,602045.4,0.13
2010.0,6.0,1.0,375502.0,100.0,451781.0,6538595.0,1.49
2000.0,12.0,1.0,264239.0,52.0,1939286.0,3739650.0,1.01
2009.0,5.0,1.0,62190.0,28.0,462919.0,990254.0,0.99
1992.0,3.0,1.0,22452.0,86.0,151084.0,674933.0,1.73
2008.0,6.0,1.0,60364.0,89.8,361339.0,778522.0,1.08
1999.0,4.0,1.0,126436.0,86.0,738487.0,772130.0,0.61
2013.0,6.0,1.0,31981.0,100.0,253743.0,420919.8,0.16
1988.0,3.0,1.0,22392.0,96.0,157916.0,609212.2,0.14
1992.0,14.0,1.0,690158.0,45.0,7737223.0,2361304.8,0.54
1979.0,3.0,1.0,36300.0,93.0,234076.0,716027.8,0.13
1928.0,3.0,1.0,71280.0,55.8,2045736.0,12581109.0,9.92
1955.0,1.0,1.0,29079.0,59.0,137942.0,432250.0,0.88
1967.0,4.0,1.0,118154.0,92.0,700170.0,259550.0,0.23
1903.0,3.0,1.0,24913.0,100.0,62460.0,48699.0,0.15
1973.0,1.0,1.0,52500.0,4.0,868876.0,497551.0,0.83
2000.0,7.0,1.0,241875.0,88.0,2487806.0,167210.0,0.37
2001.0,3.0,1.0,103697.0,1.0,2201750.0,5860458.0,6.32
2016.0,21.0,1.0,489821.0,92.0,5116159.0,704132.0,0.38
1971.0,23.0,4.0,474546.0,70.0,8081324.0,16420028.0,0.34
1961.0,2.0,1.0,37600.0,83.8,136247.0,415053.0,0.66
2002.0,12.0,1.0,205779.0,91.6,1522082.0,5286190.0,1.51
1911.0,6.0,1.0,23338.0,89.2,102666.0,1156720.0,2.71
2014.0,7.0,1.0,333714.0,66.0,3272780.0,1649853.0,0.81
2010.0,31.0,1.0,480789.0,99.0,2624465.0,8502134.0,1.05
1910.0,4.0,1.0,23200.0,64.8,273941.0,697416.4,0.23
1912.0,42.0,1.0,304346.0,70.0,2850704.0,8073090.0,1.84
2005.0,2.0,1.0,29508.0,73.2,232104.0,1425680.0,3.58
1987.0,3.0,4.0,103345.0,72.0,874884.0,6480.0,0.17
1985.0,4.0,1.0,24581.0,91.0,175573.0,469201.6,0.14
1957.0,4.0,1.0,23636.0,92.0,182301.0,599802.8,0.15
1983.0,13.0,1.0,307557.0,77.0,2788051.0,4302728.0,0.25
2013.0,1.0,1.0,72000.0,81.4,556764.0,1507904.0,1.26
